addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l
0,0,0,0,0,0,0.007425541400863785,0,0,0,0,0,0.12796428356315695,0.3598160639692007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04722225938841417,0,0,0.008217538508329807,0,0,0.020210871892803243,0,0,0.08038491828813572,0.025881368409081076,0,0,0,0,0,0,0.015874403821020216,0,0,0,0,0,0.15079510846723057,0.012861945431947056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0705938557838622,0,0,0.11165002556627317,0,0,0.1396931758202307,0,0,0.061406279268671655,0.12688460587285386
0,0,0,0,0,0,0.007413924873440381,0,0,0,0,0,0.12828140190360968,0.3420524428223078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0484947422519838,0,0,0.008436490364844342,0,0,0.01927615494109558,0,0,0.07793831543988078,0.025473823090357214,0,0,0,0,0,0,0.016823597428798607,0,0,0,0,0,0.15773147326978726,0.013812499688136632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08984300798110596,0,0,0.11563004070701847,0,0,0.1541399007358154,0,0,0.0825187423320298,0.13742497588224073
0,0,0,0,0,0,0.00734271208578517,0,0,0,0,0,0.12807258295742247,0.3220001595122011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04923515844824071,0,0,0.00862810581448825,0,0,0.018055119322744905,0,0,0.07488600790232029,0.024799228742171178,0,0,0,0,0,0,0.017572671615001027,0,0,0,0,0,0.16210894821136826,0.014958396223773361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11279057056421049,0,0,0.11893969697120269,0,0,0.16793006028134322,0,0,0.1069579720137653,0.14895138412777176
0,0,0,0,0,0,0.007218949931636321,0,0,0,0,0,0.12735754619428727,0.2999938134986366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04936357428396213,0,0,0.008792583825886496,0,0,0.01654439959956069,0,0,0.07125835340225499,0.02388617158756406,0,0,0,0,0,0,0.01808943583994114,0,0,0,0,0,0.16385793266304302,0.01625221740887708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13935588529122406,0,0,0.12149253714758923,0,0,0.1806221176157002,0,0,0.13445825374287124,0.16147110069337356
0,0,0,0,0,0,0.007052461341324396,0,0,0,0,0,0.12614958487209035,0.2764259847904161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0488282945624727,0,0,0.008931948605933316,0,0,0.014749602685966406,0,0,0.0671192749649037,0.022773676632941442,0,0,0,0,0,0,0.01835290542625213,0,0,0,0,0,0.1630558977119211,0.01766809685558451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16930049633391148,0,0,0.12321127232018472,0,0,0.19183209427135192,0,0,0.1645967886814314,0.17493096529623658
0,0,0,0,0,0,0.006855155893187413,0,0,0,0,0,0.12445170147025399,0.251737849667779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04761003286034324,0,0,0.009049923623932055,0,0,0.012690496969814542,0,0,0.06256667102694263,0.02150801463954606,0,0,0,0,0,0,0.018355485297868214,0,0,0,0,0,0.15991819609394778,0.019199154068561954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20221858688421102,0,0,0.12403356799043286,0,0,0.20125794887958626,0,0,0.1968016480289624,0.18920891968033202
0,0,0,0,0,0,0.0066402776423471685,0,0,0,0,0,0.1222558648385821,0.22640624681428229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045724610569713296,0,0,0.00915172498100172,0,0,0.010406125976200482,0,0,0.05772817002823092,0.020139673317499968,0,0,0,0,0,0,0.01810385623185954,0,0,0,0,0,0.15477851786825414,0.020852951031862514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2375334965650223,0,0,0.12391732149062948,0,0,0.20869766019462013,0,0,0.2303694035988623,0.20411086508497994
0,0,0,0,0,0,0.0064215494110269914,0,0,0,0,0,0.11954487505348721,0.20092783198564268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04322333388972427,0,0,0.009243751327948125,0,0,0.00795936472388436,0,0,0.05275263809326097,0.018720562366602488,0,0,0,0,0,0,0.017618317928697762,0,0,0,0,0,0.1480622578989651,0.022645395467645858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27450202905472143,0,0,0.12284488201697492,0,0,0.2140579558250847,0,0,0.26449125772332804,0.21937376889845434
0,0,0,0,0,0,0.006212204907802581,0,0,0,0,0,0.11629599490091834,0.17580064880850824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04019033696526029,0,0,0.009333153503371078,0,0,0.005440368270585614,0,0,0.047798514219869984,0.01730145038302019,0,0,0,0,0,0,0.016930784324817805,0,0,0,0,0,0.14025613173963297,0.024593659775142947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312229281937243,0,0,0.12082625740583063,0,0,0.21735194855950063,0,0,0.29828580499983404,0.23467502834329798
0,0,0,0,0,0,0.006023991377472711,0,0,0,0,0,0.11248560301277749,0.15150331834649194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03673660289427461,0,0,0.009427315420698376,0,0,0.0029683382184619244,0,0,0.0430208114765613,0.015929619766612876,0,0,0,0,0,0,0.0160818764638981,0,0,0,0,0,0.13187620038997291,0.026708869629599778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3496958937500912,0,0,0.11790140530416418,0,0,0.21868619273343778,0,0,0.33083573397874416,0.249646745871006
